Problem,learning-rate,max-patient-epoch,batch-size,n_estimators,max_depth,rate,fix
MIS_easy,0.0001,10,1,30,5,0.4,0.6
MIS_medium,0.0001,10,1,30,5,0.4,0.6
MIS_hard,0.0001,10,1,30,5,0.4,0.6
MCV_easy,0.0001,10,1,30,5,0.4,0.6
MVC_medium,0.0001,10,1,30,5,0.4,0.6
MVC_hard,0.0001,10,1,30,5,0.4,0.6
SC_easy,0.0001,10,1,30,5,0.4,0.6
SC_medium,0.0001,10,1,30,5,0.4,0.6
SC_hard,0.0001,10,1,30,5,0.4,0.6
MIPlib,0.0001,10,1,30,5,0.4,0.6
Coral,0.0001,10,1,30,5,0.4,0.6
Cut,0.0001,10,1,30,5,0.4,0.6
ECOGCNN,0.0001,10,1,30,5,0.4,0.6
HEM_knapsack,0.0001,10,1,30,5,0.4,0.6
HEM_mis,0.0001,10,1,30,5,0.4,0.6
HEM_setcover,0.0001,10,1,30,5,0.4,0.6
HEM_corlat,0.0001,10,1,30,5,0.4,0.6
HEM_mik,0.0001,10,1,30,5,0.4,0.6
item_placement,0.0001,10,1,30,5,0.4,0.6
load_balancing,0.0001,10,1,30,5,0.4,0.6
anonymous,0.0001,10,1,30,5,0.4,0.6
Nexp,0.0001,10,1,30,5,0.4,0.6
Transportation,0.0001,10,1,30,5,0.4,0.6
vary_bounds_s1,0.0001,10,1,30,5,0.4,0.6
vary_bounds_s2,0.0001,10,1,30,5,0.4,0.6
vary_bounds_s3,0.0001,10,1,30,5,0.4,0.6
vary_matrix_s1,0.0001,10,1,30,5,0.4,0.6
vary_matrix_rhs_bounds_s1,0.0001,10,1,30,5,0.4,0.6
vary_matrix_rhs_bounds_obj_s1,0.0001,10,1,30,5,0.4,0.6
vary_obj_s1,0.0001,10,1,30,5,0.4,0.6
vary_obj_s2,0.0001,10,1,30,5,0.4,0.6
vary_obj_s3,0.0001,10,1,30,5,0.4,0.6
vary_rhs_s1,0.0001,10,1,30,5,0.4,0.6
vary_rhs_s2,0.0001,10,1,30,5,0.4,0.6
vary_rhs_s3,0.0001,10,1,30,5,0.4,0.6
vary_rhs_s4,0.0001,10,1,30,5,0.4,0.6
vary_rhs_obj_s1,0.0001,10,1,30,5,0.4,0.6
vary_rhs_obj_s2,0.0001,10,1,30,5,0.4,0.6
Aclib,0.0001,10,1,30,5,0.4,0.6
fc.data,0.0001,10,1,30,5,0.4,0.6
nn_verification,0.0001,10,1,30,5,0.4,0.6